Date,Open,High,Low,Close,Adj Close,Volume
2018-09-07,16512.748047,16826.478516,15581.643555,15590.831055,15590.831055,120465502800
2018-09-08,15641.723633,15817.943359,13872.130859,14208.922852,14208.922852,108904616000
2018-09-09,14240.075195,14906.265625,13516.604492,14135.205078,14135.205078,113841644400
2018-09-10,14201.745117,14491.162109,13735.360352,14278.374023,14278.374023,108889452000
2018-09-11,14357.923828,14381.759766,13116.687500,13441.343750,13441.343750,113949207000
2018-09-12,13467.272461,13479.183594,12317.242188,13227.332031,13227.332031,135270427500
2018-09-13,13252.439453,15413.494141,13252.439453,15222.771484,15222.771484,167870108000
2018-09-14,15317.484375,15984.355469,14745.078125,15218.400391,15218.400391,160427495300
2018-09-15,15079.332031,16286.029297,15064.382813,16032.328125,16032.328125,120058116300
2018-09-16,16012.851563,16012.851563,15173.050781,15853.731445,15853.731445,107967426200
2018-09-17,15925.098633,16117.637695,14165.689453,14351.874023,14351.874023,146504072300
2018-09-18,14295.300781,15569.727539,14195.417969,15265.182617,15265.182617,130906528000
2018-09-19,15228.614258,15548.421875,14589.811523,15191.256836,15191.256836,125406425500
2018-09-20,15214.336914,16189.144531,15033.534180,16108.897461,16108.897461,127819824245
2018-09-21,16156.236328,17941.064453,15955.040039,17807.064453,17807.064453,204816187880
2018-09-22,17861.441406,18143.886719,16888.095703,17371.312500,17371.312500,138824587875
2018-09-23,17408.298828,17874.324219,17180.410156,17650.238281,17650.238281,122335151549
2018-09-24,17687.369141,17748.269531,16529.423828,16626.414063,16626.414063,127116147115
2018-09-25,16597.121094,16590.240234,15009.757813,15880.506836,15880.506836,154103528644
2018-09-26,15890.827148,16077.433594,15198.333008,15630.776367,15630.776367,127169741037
2018-09-27,15601.303711,16732.843750,15447.717773,16592.320313,16592.320313,147433712509
2018-09-28,16632.041016,16812.158203,15853.502930,16127.480469,16127.480469,146343966889
2018-09-29,16076.937500,16966.015625,15665.655273,16797.011719,16797.011719,160165325425
2018-09-30,16774.822266,17181.484375,16562.261719,16884.773438,16884.773438,128028065991
2018-10-01,16911.748047,16975.511719,16548.830078,16930.716797,16930.716797,117203518782
2018-10-02,16955.076172,16856.697266,16468.107422,16656.910156,16656.910156,113065302647
2018-10-03,16600.160156,16513.316406,15692.632813,16285.427734,16285.427734,124375908925
2018-10-04,16282.250977,16685.199219,16141.400391,16361.863281,16361.863281,108935266368
2018-10-05,16365.471680,16841.951172,16359.656250,16865.234375,16865.234375,114657152754
2018-10-06,16861.603516,16812.960938,16541.505859,16679.140625,16679.140625,111510634440
2018-10-07,16702.478516,16698.183594,16449.300781,16707.878906,16707.878906,108653413640
